,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2022-07-15,196.33,197.66,194.69,194.9,194.9,589741.0,589741.0,-1.43,-0.728,195.75,"July 15, 22",-0.00728
1,2022-07-14,190.84,193.33,188.99,193.24,193.24,617048.0,617048.0,2.4,1.258,191.85333,"July 14, 22",0.01258
2,2022-07-13,194.11,196.25,193.02,193.72,193.72,495846.0,495846.0,-0.39,-0.201,194.33,"July 13, 22",-0.00201
3,2022-07-12,198.98,201.09,196.43,196.84,196.84,518111.0,518111.0,-2.14,-1.075,198.12,"July 12, 22",-0.01075
4,2022-07-11,199.11,201.32,198.49,199.24,199.24,286881.0,286881.0,0.13,0.065,199.68333,"July 11, 22",0.00065
5,2022-07-08,201.2,204.32,199.5875,201.27,201.27,495503.0,495503.0,0.07,0.035,201.72583,"July 08, 22",0.00035
6,2022-07-07,204.41,204.76,199.91,201.31,201.31,857185.0,857185.0,-3.1,-1.517,201.99333,"July 07, 22",-0.01517
7,2022-07-06,201.36,204.65,199.89,202.13,202.13,573204.0,573204.0,0.77,0.382,202.22333,"July 06, 22",0.00382
8,2022-07-05,197.68,201.12,196.2,200.82,200.82,375343.0,375343.0,3.14,1.588,199.38,"July 05, 22",0.01588
9,2022-07-01,197.3,199.8,196.46,199.44,199.44,584325.0,584325.0,2.14,1.085,198.56667,"July 01, 22",0.01085
10,2022-06-30,198.25,199.41,196.52,197.39,197.39,524391.0,524391.0,-0.86,-0.434,197.77333,"June 30, 22",-0.00434
11,2022-06-29,198.85,200.53,196.66,199.87,199.87,488936.0,488936.0,1.02,0.513,199.02,"June 29, 22",0.00513
12,2022-06-28,205.06,208.16,198.57,198.97,198.97,756612.0,756612.0,-6.09,-2.97,201.9,"June 28, 22",-0.0297
13,2022-06-27,204.73,206.31,203.57,204.69,204.69,714220.0,714220.0,-0.04,-0.02,204.85667,"June 27, 22",-0.0002
14,2022-06-24,199.86,205.61,199.66,204.95,204.95,1593751.0,1593751.0,5.09,2.547,203.40667,"June 24, 22",0.02547
15,2022-06-23,198.58,198.66,195.805,197.88,197.88,430410.0,430410.0,-0.7,-0.353,197.44833,"June 23, 22",-0.00353
16,2022-06-22,193.71,198.9,193.71,197.26,197.26,1056976.0,1056976.0,3.55,1.833,196.62333,"June 22, 22",0.01833
17,2022-06-21,197.23,197.71,192.69,196.2,196.2,1104844.0,1104844.0,-1.03,-0.522,195.53333,"June 21, 22",-0.00522
18,2022-06-17,192.95,195.09,190.52,193.93,193.93,3387991.0,3387991.0,0.98,0.508,193.18,"June 17, 22",0.00508
19,2022-06-16,192.01,192.01,187.89,190.83,190.83,1087065.0,1087065.0,-1.18,-0.615,190.24333,"June 16, 22",-0.00615
20,2022-06-15,197.14,198.22,190.84,194.81,194.81,890951.0,890951.0,-2.33,-1.182,194.62333,"June 15, 22",-0.01182
21,2022-06-14,195.82,197.95,193.83,194.87,194.87,545112.0,545112.0,-0.95,-0.485,195.55,"June 14, 22",-0.00485
